"main.id","hpq_cct_mem.id","cct_mem_refno"
"236069","0","2"
"236069","1","3"
"236075","0","2"
"236075","1","3"
"236075","2","4"
"236075","3","5"
"236075","4","6"
"236078","0","2"
"236078","1","3"
"236078","2","4"
"236095","0","2"
"236095","1","3"
"236095","2","4"
"236095","3","5"
"236334","0","13"
"236334","1","14"
"236353","0","11"
"236353","1","12"
"236359","0","10"
"236359","1","11"
"236429","0","7"
"236429","1","9"
"236444","0","3"
"236450","0","4"
"236450","1","5"
"236452","0","6"
"236452","1","7"
"236452","2","8"
"236454","0","3"
"236454","1","4"
"236458","0","3"
"236458","1","4"
"236458","2","5"
"240048","0","3"
"240048","1","4"
"240048","2","5"
"240049","0","4"
"240050","0","4"
"240374","0","3"
"240374","1","4"
"240376","0","9"
"240376","1","10"
"240376","2","11"
"240380","0","6"
"240380","1","7"
"240380","2","8"
"240381","0","3"
"240381","1","5"
"240381","2","4"
"240382","0","2"
"240382","1","6"
"240382","2","7"
"240383","0","8"
"240388","0","2"
"240388","1","3"
"240388","2","4"
"240391","0","2"
"240391","1","3"
"240394","0","2"
"240394","1","5"
"240394","2","6"
"244078","0","2"
"244078","1","3"
"244084","0","2"
"244084","1","4"
"244084","2","6"
"244084","3","7"
"244089","0","1"
"244089","1","3"
"244089","2","4"
"244097","0","2"
"244097","1","3"
"244097","2","4"
"244097","3","5"
"244743","0","7"
"244743","1","8"
"246610","0","1"
"246610","1","5"
"246615","0","2"
"246615","1","5"
"246615","2","6"
"246615","3","8"
"253146","0","2"
"253146","1","4"
"253146","2","5"
"253146","3","6"
"253154","0","1"
"253154","1","2"
"253154","2","3"
"253154","3","4"
"253154","4","5"
"253157","0","2"
"253157","1","3"
"253158","0","1"
"253158","1","2"
"253158","2","3"
"253294","0","2"
"253294","1","4"
"253294","2","5"
"253294","3","6"
"254222","0","3"
"254222","1","1"
"254222","2","8"
"254222","3","9"
"254225","0","6"
"254225","1","5"
"254225","2","4"
"254263","0","1406110351558"
"254267","0","1406110351571"
"254534","0","3"
"254534","1","4"
"254534","2","5"
"255408","0","5"
"255408","1","6"
"255408","2","7"
"255410","0","8"
"255412","0","5"
"255475","0","2"
"255475","1","7"
"255574","0","6"
"255574","1","7"
"255574","2","8"
"255576","0","4"
"255576","1","5"
"255576","2","3"
"255576","3","1"
"255585","0","5"
"255586","0","6"
"255586","1","7"
"255586","2","3"
"255586","3","1"
"255598","0","7"
"255598","1","3"
"255598","2","1"
"255640","0","3"
"255640","1","6"
"255640","2","1"
"255661","0","4"
"255661","1","6"
"255661","2","5"
"255891","0","1"
"255891","1","5"
"255893","0","5"
"255893","1","6"
"255893","2","7"
"255913","0","6"
"255917","0","4"
"255917","1","5"
"255917","2","3"
"255917","3","1"
"255918","0","11"
"256777","0","9"
"257102","0","2"
"257102","1","4"
"257102","2","5"
"257102","3","6"
"257109","0","2"
"257109","1","4"
"257109","2","5"
"261653","0","11"
"261653","1","12"
"261653","2","13"
"262078","0","2"
"263036","0","2"
"263052","0","3"
"263076","0","3"
"263076","1","2"
"263942","0","2"
"263943","0","2"
"264474","0","6"
"268298","0","2"
"268298","1","3"
"268298","2","4"
"268298","3","5"
"268301","0","1"
"268301","1","4"
"268303","0","2"
"268303","1","3"
"268303","2","4"
"268303","3","5"
"268363","0","3"
"268363","1","2"
"268371","0","4"
"268371","1","5"
"268374","0","6"
"268374","1","7"
"268376","0","8"
"270445","0","7"
"270445","1","8"
"270445","2","9"
"270445","3","10"
"270454","0","5"
"278027","0","2"
"278027","1","3"
"278027","2","4"
"278035","0","2"
"278035","1","4"
"278035","2","5"
"278035","3","6"
"278374","0","2"
"278374","1","6"
"278374","2","7"
"278374","3","8"
"278400","0","1"
"278400","1","3"
"278400","2","4"
"278406","0","2"
"278406","1","5"
"278406","2","6"
"278411","0","2"
"278411","1","4"
"278411","2","5"
"278411","3","6"
"278414","0","2"
"278414","1","4"
"278414","2","5"
"278414","3","6"
"278424","0","2"
"278424","1","3"
"278424","2","4"
"278434","0","2"
"278434","1","4"
"278451","0","2"
"278451","1","3"
"278451","2","5"
"278453","0","2"
"278453","1","6"
"278453","2","7"
"278453","3","8"
"278458","0","2"
"278458","1","3"
"278458","2","4"
"278458","3","5"
"278462","0","2"
"278462","1","5"
"278462","2","6"
"278462","3","7"
"278464","0","1"
"278464","1","6"
"278464","2","7"
"278464","3","8"
"278466","0","3"
"278466","1","2"
"278466","2","4"
"278466","3","5"
"278475","0","2"
"278475","1","3"
"278475","2","4"
"278477","0","2"
"278477","1","3"
"278477","2","4"
"278477","3","5"
"278479","0","1"
"278479","1","3"
"278479","2","4"
"278486","0","2"
"278486","1","3"
"278486","2","4"
"278502","0","2"
"278502","1","3"
"278502","2","4"
"278502","3","5"
"278514","0","2"
"278514","1","3"
"278514","2","4"
"278514","3","5"
"278520","0","2"
"278520","1","4"
"278520","2","5"
"278520","3","6"
"278525","0","2"
"278525","1","3"
"278525","2","4"
"278525","3","5"
"278526","0","2"
"278526","1","3"
"278526","2","4"
"278530","0","2"
"278530","1","3"
"278530","2","4"
"278542","0","2"
"278542","1","3"
"278542","2","4"
"278542","3","5"
"278545","0","2"
"278545","1","3"
"278545","2","4"
"278545","3","5"
"280277","0","1"
"280277","1","8"
"280277","2","9"
"280277","3","10"
"280277","4","11"
"280277","5","12"
"280687","0","2"
"280687","1","5"
"280687","2","6"
